"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,19,3694,252
2,115,8251,670
3,88,9459,926
4,58,9207,1052
5,103,8045,1168
6,84,6679,1053
7,90,5383,901
8,71,4661,815
9,83,3722,688
10,41,3033,570
11,52,2567,498
12,67,2095,400
13,50,1627,375
14,69,1430,302
15,46,1331,247
16,46,1043,200
17,26,855,190
18,23,769,137
19,32,672,141
20,40,539,107
21,28,477,102
22,25,482,101
23,25,428,73
24,15,357,72
25,12,294,71
26,20,270,43
27,21,251,38
28,15,249,46
29,14,214,32
30,10,190,28
31,7,156,30
32,5,154,25
33,6,118,25
34,8,125,25
35,12,110,22
36,6,115,18
37,7,115,14
38,6,84,13
39,9,65,15
40,7,81,11
41,3,53,10
42,4,63,5
43,7,60,9
44,1,65,6
45,5,51,8
46,4,46,4
47,3,43,13
48,3,32,8
49,2,38,5
50,2,40,4
51,3,41,1
52,2,19,0
53,3,27,4
54,7,30,2
55,5,23,5
56,0,20,2
57,3,19,1
58,6,21,2
59,0,20,1
60,1,12,1
