"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,3,4593,312
2,30,10377,790
3,37,11744,1039
4,33,11213,1166
5,51,9724,1280
6,32,8004,1139
7,31,6498,997
8,30,5724,906
9,26,4584,769
10,31,3723,659
11,31,3223,574
12,24,2665,462
13,23,2144,427
14,11,1902,359
15,18,1830,290
16,30,1490,245
17,21,1208,225
18,18,1042,164
19,13,972,176
20,4,815,134
21,11,700,125
22,17,670,120
23,13,594,95
24,12,491,88
25,7,455,90
26,9,417,57
27,10,362,56
28,5,358,63
29,8,328,36
30,4,274,36
31,12,232,35
32,5,245,36
33,9,213,35
34,10,187,39
35,2,175,26
36,6,182,22
37,5,175,15
38,4,130,16
39,4,97,17
40,1,114,16
41,2,85,12
42,1,96,11
43,5,94,13
44,1,100,8
45,5,88,12
46,4,67,6
47,2,54,14
48,1,53,9
49,0,64,7
50,1,58,4
51,0,57,1
52,4,39,0
53,4,47,5
54,2,44,3
55,1,38,5
56,2,34,5
57,0,30,3
58,1,33,6
59,1,30,3
60,1,22,2
