"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,2,4412,296
2,30,9941,762
3,35,11279,1005
4,27,10747,1143
5,26,9335,1248
6,29,7689,1114
7,16,6219,972
8,25,5471,881
9,33,4407,752
10,29,3581,639
11,21,3069,555
12,28,2522,451
13,12,2006,419
14,15,1778,346
15,14,1728,282
16,16,1385,239
17,19,1136,215
18,21,989,158
19,13,893,170
20,6,752,128
21,10,655,121
22,9,626,118
23,8,564,91
24,6,466,86
25,10,416,87
26,12,389,57
27,6,333,56
28,7,333,58
29,8,293,34
30,5,258,35
31,5,222,33
32,1,232,33
33,8,194,34
34,5,174,36
35,4,160,26
36,10,164,21
37,0,163,15
38,6,118,15
39,4,90,16
40,5,106,14
41,4,78,11
42,3,94,10
43,3,87,11
44,6,93,7
45,8,80,12
46,5,61,5
47,9,52,14
48,5,47,9
49,1,63,7
50,1,55,4
51,1,50,1
52,4,32,0
53,4,43,5
54,2,40,3
55,5,36,5
56,0,31,5
57,0,27,3
58,2,31,5
59,1,28,2
60,1,20,2
