"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,8,4059,276
2,48,9099,710
3,57,10368,967
4,81,9984,1101
5,51,8685,1211
6,26,7211,1086
7,45,5792,942
8,39,5068,850
9,45,4062,720
10,39,3304,604
11,48,2827,524
12,22,2305,416
13,28,1823,399
14,21,1605,330
15,22,1530,267
16,21,1209,224
17,22,985,201
18,31,877,145
19,20,778,156
20,19,648,119
21,14,572,109
22,22,546,108
23,13,493,81
24,23,419,79
25,9,356,75
26,5,325,47
27,6,292,49
28,7,293,51
29,17,261,33
30,10,231,30
31,15,196,31
32,7,193,28
33,5,163,30
34,7,150,32
35,7,143,24
36,7,141,18
37,3,145,14
38,7,102,14
39,6,80,15
40,3,94,14
41,2,70,10
42,3,76,7
43,2,75,11
44,4,75,8
45,1,72,10
46,1,53,4
47,1,50,13
48,1,41,8
49,0,52,6
50,1,44,4
51,3,47,1
52,2,24,0
53,2,32,4
54,2,37,3
55,0,29,6
56,1,26,3
57,0,23,2
58,3,29,3
59,1,24,2
60,4,15,2
