"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,13,3768,259
2,41,8422,680
3,47,9648,934
4,38,9375,1063
5,50,8211,1177
6,50,6803,1065
7,54,5486,908
8,51,4744,822
9,40,3811,694
10,25,3098,578
11,32,2625,507
12,36,2142,404
13,37,1671,379
14,44,1470,309
15,39,1391,255
16,37,1086,205
17,17,889,192
18,13,792,141
19,25,702,145
20,16,560,112
21,19,512,102
22,22,501,102
23,35,442,74
24,11,371,75
25,17,311,71
26,21,279,44
27,15,260,42
28,29,260,47
29,14,227,32
30,26,201,28
31,11,164,30
32,11,159,26
33,11,128,26
34,17,130,26
35,16,122,22
36,9,121,18
37,12,117,14
38,7,85,13
39,6,68,15
40,14,91,11
41,12,58,11
42,7,66,6
43,7,61,10
44,4,68,6
45,6,58,9
46,4,47,4
47,4,43,13
48,5,33,8
49,7,40,5
50,4,41,4
51,4,39,1
52,4,22,0
53,6,31,4
54,4,31,3
55,3,23,5
56,2,21,2
57,5,20,2
58,1,20,2
59,3,22,1
60,2,15,1
