"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,6,4277,288
2,50,9613,738
3,65,10944,987
4,69,10486,1134
5,84,9077,1232
6,40,7499,1106
7,38,6059,962
8,68,5316,870
9,40,4267,741
10,41,3470,630
11,37,2958,539
12,37,2443,440
13,22,1930,416
14,25,1702,343
15,24,1639,276
16,21,1319,230
17,21,1070,211
18,20,928,154
19,24,857,164
20,15,712,122
21,8,632,115
22,18,587,115
23,7,543,87
24,10,450,82
25,17,400,84
26,6,362,54
27,6,320,51
28,5,317,56
29,7,279,34
30,7,249,34
31,6,209,32
32,7,222,31
33,5,175,33
34,5,169,35
35,2,151,26
36,7,156,20
37,5,156,14
38,6,117,15
39,5,89,15
40,3,102,14
41,1,74,10
42,2,84,8
43,4,79,11
44,2,86,8
45,2,78,11
46,3,58,5
47,1,50,14
48,1,44,8
49,1,58,7
50,2,51,4
51,2,49,1
52,0,30,0
53,1,38,4
54,2,40,3
55,1,36,5
56,0,29,4
57,1,27,3
58,2,29,4
59,0,24,2
60,1,20,2
