"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,7,4802,332
2,49,10867,822
3,53,12279,1069
4,74,11708,1193
5,40,10134,1311
6,40,8345,1165
7,51,6761,1022
8,52,6006,932
9,52,4829,793
10,50,3934,682
11,35,3400,585
12,18,2813,480
13,24,2277,445
14,31,2012,368
15,21,1965,303
16,17,1591,253
17,22,1293,228
18,30,1131,176
19,13,1039,185
20,15,870,142
21,20,754,129
22,7,723,121
23,17,636,105
24,9,527,95
25,12,489,91
26,6,454,62
27,4,390,59
28,7,389,67
29,6,340,38
30,6,294,39
31,4,242,41
32,8,269,37
33,7,238,39
34,1,201,42
35,3,192,28
36,6,199,25
37,4,190,16
38,2,138,17
39,6,110,20
40,2,135,19
41,0,98,12
42,3,111,12
43,6,102,15
44,3,107,8
45,1,93,12
46,3,69,8
47,0,62,14
48,3,56,9
49,1,66,8
50,2,61,4
51,2,61,2
52,4,42,0
53,2,47,5
54,0,48,4
55,1,46,6
56,2,37,5
57,1,34,3
58,3,37,6
59,2,32,3
60,3,27,3
