"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,9,3033,224
2,82,6694,597
3,106,8052,847
4,115,8085,1001
5,105,7110,1094
6,90,5900,973
7,62,4795,851
8,57,4157,761
9,48,3316,634
10,28,2697,529
11,40,2258,452
12,36,1868,374
13,32,1453,344
14,24,1243,263
15,14,1161,225
16,27,879,182
17,22,725,173
18,16,633,129
19,16,561,132
20,17,457,93
21,6,398,90
22,11,394,89
23,15,349,62
24,10,297,65
25,12,243,60
26,9,211,39
27,11,211,33
28,7,213,41
29,4,174,27
30,6,164,24
31,2,131,24
32,10,133,22
33,8,105,24
34,6,106,23
35,5,89,21
36,1,89,16
37,7,90,8
38,3,72,10
39,5,53,11
40,4,71,11
41,4,43,9
42,0,54,4
43,4,51,6
44,1,55,5
45,1,42,6
46,2,41,3
47,1,37,13
48,4,30,7
49,1,33,3
50,2,35,4
51,4,30,1
52,1,15,0
53,3,26,4
54,4,26,2
55,4,21,3
56,0,19,1
57,3,14,1
58,2,17,2
59,3,13,1
60,2,9,1
