"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,9,2273,187
2,40,5070,477
3,85,6262,677
4,87,6446,763
5,62,5703,845
6,64,4841,766
7,40,3841,669
8,31,3359,574
9,30,2616,481
10,42,2162,415
11,27,1769,330
12,20,1485,277
13,24,1113,266
14,11,953,202
15,5,867,167
16,14,674,127
17,9,549,131
18,7,506,99
19,17,436,97
20,10,354,78
21,5,281,61
22,6,291,62
23,8,269,44
24,7,225,46
25,0,165,41
26,5,141,33
27,3,158,24
28,2,163,32
29,3,116,21
30,1,122,18
31,1,88,19
32,2,90,14
33,5,86,18
34,5,73,18
35,0,72,14
36,1,59,13
37,1,62,6
38,4,47,6
39,1,37,8
40,2,55,9
41,0,39,6
42,0,41,2
43,2,34,3
44,0,39,5
45,2,36,6
46,2,34,3
47,0,24,9
48,0,20,2
49,1,30,2
50,0,22,3
51,3,22,1
52,1,11,0
53,0,16,3
54,0,22,2
55,0,14,2
56,0,12,1
57,0,10,1
58,0,12,1
59,1,12,1
60,0,6,1
