"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,5,4663,320
2,26,10529,801
3,21,11887,1046
4,28,11352,1178
5,18,9852,1293
6,14,8109,1145
7,23,6591,1007
8,23,5840,917
9,17,4677,781
10,17,3808,670
11,20,3291,577
12,10,2703,468
13,14,2191,434
14,12,1945,361
15,10,1886,294
16,14,1528,250
17,9,1239,226
18,8,1077,170
19,7,1002,179
20,3,844,140
21,9,724,129
22,5,693,120
23,3,615,99
24,6,502,91
25,7,470,91
26,2,438,62
27,5,375,58
28,8,377,66
29,7,334,37
30,4,286,37
31,3,237,39
32,6,255,36
33,4,222,37
34,1,191,40
35,1,183,27
36,6,191,24
37,4,183,16
38,4,137,17
39,7,104,18
40,5,122,18
41,1,90,11
42,2,100,11
43,0,96,13
44,6,103,8
45,1,91,12
46,5,68,7
47,1,59,13
48,1,53,9
49,2,67,7
50,4,60,4
51,5,60,2
52,4,42,0
53,4,48,5
54,2,49,4
55,1,42,6
56,3,35,5
57,6,31,3
58,2,32,6
59,4,30,3
60,2,24,3
