"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,6,2113,177
2,46,4706,464
3,47,5848,653
4,31,6010,735
5,32,5357,815
6,33,4528,732
7,29,3626,643
8,18,3149,538
9,21,2445,457
10,13,2038,400
11,16,1668,311
12,15,1394,258
13,12,1051,250
14,11,907,183
15,7,804,155
16,6,638,121
17,7,528,126
18,9,469,95
19,12,412,93
20,4,327,74
21,7,261,57
22,2,274,60
23,3,255,42
24,3,210,41
25,5,150,36
26,2,132,33
27,1,145,24
28,0,152,32
29,2,112,21
30,0,114,17
31,1,80,18
32,1,85,14
33,2,78,17
34,0,68,16
35,1,67,13
36,0,59,12
37,2,58,6
38,0,45,6
39,0,35,7
40,0,54,9
41,0,36,6
42,0,38,2
43,1,32,3
44,0,39,4
45,0,33,6
46,0,31,3
47,0,24,9
48,0,18,2
49,1,28,2
50,0,20,3
51,0,21,1
52,0,10,0
53,0,15,3
54,0,20,2
55,0,14,2
56,1,12,1
57,0,10,1
58,1,11,0
59,0,9,1
60,2,6,1
