"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,3,4153,282
2,21,9305,718
3,29,10581,976
4,37,10185,1112
5,19,8840,1223
6,25,7335,1090
7,14,5901,953
8,18,5187,861
9,14,4147,732
10,17,3376,615
11,24,2881,528
12,13,2371,427
13,3,1862,408
14,15,1645,338
15,12,1585,271
16,10,1260,228
17,12,1015,206
18,15,911,150
19,7,819,162
20,7,681,120
21,6,602,109
22,13,572,111
23,3,516,85
24,13,434,80
25,13,384,81
26,9,343,51
27,4,307,49
28,6,306,54
29,2,272,34
30,5,239,33
31,7,203,32
32,7,207,31
33,6,172,32
34,2,163,33
35,6,145,24
36,4,152,19
37,1,151,14
38,3,106,15
39,5,86,15
40,10,99,14
41,3,70,10
42,3,83,7
43,3,77,11
44,5,82,7
45,7,78,11
46,10,54,4
47,4,50,13
48,4,42,8
49,4,56,7
50,2,49,4
51,4,47,1
52,4,29,0
53,2,35,4
54,2,38,3
55,1,29,6
56,2,26,3
57,8,26,2
58,4,29,4
59,2,23,2
60,3,18,2
