"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,4,2224,184
2,31,4956,472
3,32,6129,665
4,44,6312,752
5,17,5614,839
6,19,4752,755
7,15,3783,662
8,14,3289,562
9,8,2569,470
10,14,2130,408
11,8,1741,326
12,4,1465,275
13,6,1099,258
14,9,935,197
15,6,851,164
16,2,661,126
17,4,545,130
18,3,497,97
19,1,429,95
20,1,346,78
21,2,275,59
22,5,287,61
23,1,264,44
24,0,219,44
25,2,163,41
26,5,142,33
27,1,156,24
28,5,161,32
29,1,115,21
30,1,122,18
31,0,88,19
32,2,88,14
33,0,85,18
34,0,70,18
35,0,71,14
36,1,58,12
37,0,61,6
38,4,46,6
39,2,37,8
40,0,54,9
41,1,40,6
42,1,40,2
43,1,34,3
44,0,38,5
45,1,33,6
46,1,34,3
47,2,24,9
48,0,20,2
49,0,29,2
50,0,22,3
51,1,22,1
52,0,10,0
53,0,15,3
54,1,23,2
55,0,15,2
56,0,14,1
57,0,10,1
58,2,11,0
59,0,11,1
60,1,7,1
