"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,8,2195,182
2,21,4921,470
3,23,6079,664
4,21,6259,749
5,17,5568,836
6,14,4701,748
7,23,3759,662
8,17,3264,559
9,13,2547,467
10,12,2110,408
11,13,1726,324
12,12,1449,273
13,10,1096,258
14,8,929,196
15,10,842,163
16,5,658,125
17,5,543,129
18,4,491,96
19,2,426,95
20,1,343,78
21,3,270,59
22,8,284,61
23,4,262,44
24,6,216,43
25,2,159,41
26,0,138,33
27,3,157,24
28,1,160,32
29,2,114,21
30,2,120,17
31,3,86,19
32,4,86,14
33,5,85,18
34,2,70,17
35,0,70,14
36,0,58,12
37,2,58,6
38,1,46,6
39,2,38,7
40,1,54,9
41,0,38,6
42,1,41,2
43,1,34,3
44,2,38,5
45,1,33,6
46,1,33,3
47,1,24,9
48,1,20,2
49,1,29,2
50,0,22,3
51,1,22,1
52,0,10,0
53,0,15,3
54,0,22,2
55,0,14,2
56,0,12,1
57,0,10,1
58,0,11,0
59,1,10,1
60,0,6,1
