"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,16,2171,180
2,48,4875,469
3,61,6023,662
4,32,6196,746
5,38,5526,830
6,15,4669,742
7,25,3724,660
8,23,3233,553
9,25,2520,462
10,17,2086,408
11,14,1707,321
12,10,1433,266
13,1,1083,257
14,7,925,193
15,8,828,162
16,9,654,125
17,4,541,128
18,8,486,96
19,6,423,95
20,5,338,77
21,3,266,58
22,0,281,61
23,6,261,44
24,2,216,42
25,4,157,40
26,5,138,33
27,3,151,24
28,2,158,32
29,2,116,21
30,1,119,17
31,2,84,19
32,0,87,14
33,1,82,17
34,2,70,17
35,1,69,14
36,2,57,12
37,1,59,6
38,1,46,6
39,0,37,7
40,0,54,9
41,0,37,6
42,0,39,2
43,1,34,3
44,0,38,5
45,0,33,6
46,1,32,3
47,0,23,9
48,4,19,2
49,2,29,2
50,1,22,3
51,0,22,1
52,1,10,0
53,1,14,3
54,3,20,2
55,0,14,2
56,0,12,1
57,0,10,1
58,0,11,0
59,0,10,1
60,2,6,1
