"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,4,33,4,42,2021-12-27
"20 - 24",5,4,75,0,84,2021-12-27
"25 - 29",5,4,148,9,166,2021-12-27
"30 - 34",13,8,267,11,299,2021-12-27
"35 - 39",13,10,333,20,376,2021-12-27
"40 - 44",11,17,426,38,492,2021-12-27
"45 - 49",27,34,764,83,908,2021-12-27
"50 - 54",30,55,1239,174,1498,2021-12-27
"55 - 59",60,74,1639,310,2083,2021-12-27
"60 - 64",45,99,1774,568,2486,2021-12-27
"65 - 69",51,94,1729,877,2751,2021-12-27
"70 - 74",46,84,1506,1189,2825,2021-12-27
"75 - 79",31,50,763,837,1681,2021-12-27
"80 - 84",6,3,163,269,441,2021-12-27
"85 - 89",1,0,24,45,70,2021-12-27
">90",0,0,3,3,6,2021-12-27
