"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",3,0,51,7,61,2022-09-27
"20 - 24",4,0,113,1,118,2022-09-27
"25 - 29",1,1,191,12,205,2022-09-27
"30 - 34",4,0,324,14,342,2022-09-27
"35 - 39",2,0,407,26,435,2022-09-27
"40 - 44",4,1,516,50,571,2022-09-27
"45 - 49",3,0,900,95,998,2022-09-27
"50 - 54",8,3,1424,220,1655,2022-09-27
"55 - 59",10,3,1926,382,2321,2022-09-27
"60 - 64",10,7,2092,681,2790,2022-09-27
"65 - 69",18,6,2062,1028,3114,2022-09-27
"70 - 74",14,7,1806,1348,3175,2022-09-27
"75 - 79",6,5,992,962,1965,2022-09-27
"80 - 84",10,1,250,317,578,2022-09-27
"85 - 89",3,1,53,56,113,2022-09-27
">90",0,0,10,7,17,2022-09-27
