"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,1,22,3,26,2021-08-02
"20 - 24",3,2,49,0,54,2021-08-02
"25 - 29",3,2,98,7,110,2021-08-02
"30 - 34",1,3,170,6,180,2021-08-02
"35 - 39",7,10,201,14,232,2021-08-02
"40 - 44",10,8,305,27,350,2021-08-02
"45 - 49",10,24,589,65,688,2021-08-02
"50 - 54",22,24,1003,142,1191,2021-08-02
"55 - 59",11,27,1391,254,1683,2021-08-02
"60 - 64",10,28,1486,453,1977,2021-08-02
"65 - 69",7,34,1490,721,2252,2021-08-02
"70 - 74",10,18,1320,993,2341,2021-08-02
"75 - 79",9,12,654,688,1363,2021-08-02
"80 - 84",2,3,136,227,368,2021-08-02
"85 - 89",1,1,17,37,56,2021-08-02
">90",0,0,3,2,5,2021-08-02
