"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",3,1,48,7,59,2022-08-03
"20 - 24",4,0,110,1,115,2022-08-03
"25 - 29",3,0,186,12,201,2022-08-03
"30 - 34",6,2,323,13,344,2022-08-03
"35 - 39",5,0,402,26,433,2022-08-03
"40 - 44",7,3,508,50,568,2022-08-03
"45 - 49",8,2,890,92,992,2022-08-03
"50 - 54",8,4,1410,218,1640,2022-08-03
"55 - 59",15,6,1908,376,2305,2022-08-03
"60 - 64",17,10,2078,677,2782,2022-08-03
"65 - 69",26,6,2040,1020,3092,2022-08-03
"70 - 74",25,13,1773,1340,3151,2022-08-03
"75 - 79",23,5,967,955,1950,2022-08-03
"80 - 84",7,4,243,310,564,2022-08-03
"85 - 89",0,0,49,55,104,2022-08-03
">90",0,0,9,5,14,2022-08-03
