"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",2,0,58,7,67,2022-12-15
"20 - 24",4,0,117,2,123,2022-12-15
"25 - 29",2,0,194,13,209,2022-12-15
"30 - 34",3,0,330,14,347,2022-12-15
"35 - 39",4,2,415,26,447,2022-12-15
"40 - 44",2,1,527,52,582,2022-12-15
"45 - 49",3,2,911,97,1013,2022-12-15
"50 - 54",11,4,1440,223,1678,2022-12-15
"55 - 59",11,5,1951,389,2356,2022-12-15
"60 - 64",10,5,2132,688,2835,2022-12-15
"65 - 69",19,5,2106,1052,3182,2022-12-15
"70 - 74",19,6,1858,1378,3261,2022-12-15
"75 - 79",15,8,1032,986,2041,2022-12-15
"80 - 84",11,1,281,328,621,2022-12-15
"85 - 89",4,0,61,62,127,2022-12-15
">90",0,0,15,9,24,2022-12-15
