"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,26,3,29,2021-09-23
"20 - 24",5,0,58,0,63,2021-09-23
"25 - 29",3,4,117,7,131,2021-09-23
"30 - 34",3,6,205,7,221,2021-09-23
"35 - 39",4,11,240,15,270,2021-09-23
"40 - 44",1,13,346,30,390,2021-09-23
"45 - 49",13,10,646,69,738,2021-09-23
"50 - 54",15,27,1071,153,1266,2021-09-23
"55 - 59",11,29,1456,267,1763,2021-09-23
"60 - 64",19,27,1549,473,2068,2021-09-23
"65 - 69",15,29,1539,743,2326,2021-09-23
"70 - 74",12,22,1359,1020,2413,2021-09-23
"75 - 79",6,10,675,711,1402,2021-09-23
"80 - 84",2,1,143,232,378,2021-09-23
"85 - 89",0,0,19,40,59,2021-09-23
">90",0,0,3,2,5,2021-09-23
