"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",2,0,58,7,67,2022-12-16
"20 - 24",4,0,117,2,123,2022-12-16
"25 - 29",2,0,194,13,209,2022-12-16
"30 - 34",3,0,330,14,347,2022-12-16
"35 - 39",4,3,415,26,448,2022-12-16
"40 - 44",2,1,527,52,582,2022-12-16
"45 - 49",2,3,911,97,1013,2022-12-16
"50 - 54",12,3,1440,223,1678,2022-12-16
"55 - 59",10,6,1951,389,2356,2022-12-16
"60 - 64",10,6,2132,688,2836,2022-12-16
"65 - 69",20,4,2105,1052,3181,2022-12-16
"70 - 74",19,6,1858,1378,3261,2022-12-16
"75 - 79",16,6,1032,987,2041,2022-12-16
"80 - 84",12,1,281,328,622,2022-12-16
"85 - 89",4,0,61,62,127,2022-12-16
">90",0,0,15,9,24,2022-12-16
