"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,1,65,7,74,2023-03-22
"20 - 24",1,0,124,3,128,2023-03-22
"25 - 29",0,1,201,13,215,2023-03-22
"30 - 34",0,2,336,14,352,2023-03-22
"35 - 39",3,0,426,28,457,2023-03-22
"40 - 44",2,1,537,55,595,2023-03-22
"45 - 49",3,3,922,100,1028,2023-03-22
"50 - 54",5,2,1467,234,1708,2023-03-22
"55 - 59",6,5,1988,398,2397,2023-03-22
"60 - 64",13,6,2185,699,2903,2023-03-22
"65 - 69",12,11,2168,1077,3268,2023-03-22
"70 - 74",12,12,1951,1403,3378,2023-03-22
"75 - 79",16,5,1100,1016,2137,2023-03-22
"80 - 84",5,8,328,347,688,2023-03-22
"85 - 89",5,1,76,76,158,2023-03-22
">90",2,0,18,11,31,2023-03-22
