"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",2,0,46,6,54,2022-05-02
"20 - 24",5,0,106,0,111,2022-05-02
"25 - 29",4,0,178,11,193,2022-05-02
"30 - 34",8,0,311,13,332,2022-05-02
"35 - 39",3,0,395,26,424,2022-05-02
"40 - 44",9,3,494,48,554,2022-05-02
"45 - 49",8,3,880,91,982,2022-05-02
"50 - 54",18,2,1391,212,1623,2022-05-02
"55 - 59",25,8,1865,367,2265,2022-05-02
"60 - 64",24,14,2035,656,2729,2022-05-02
"65 - 69",30,15,1985,999,3029,2022-05-02
"70 - 74",28,15,1727,1322,3092,2022-05-02
"75 - 79",24,9,913,937,1883,2022-05-02
"80 - 84",10,2,218,300,530,2022-05-02
"85 - 89",1,1,43,50,95,2022-05-02
">90",0,0,6,4,10,2022-05-02
