"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,1,25,3,29,2021-09-08
"20 - 24",3,3,56,0,62,2021-09-08
"25 - 29",4,6,113,7,130,2021-09-08
"30 - 34",8,7,187,7,209,2021-09-08
"35 - 39",8,10,230,15,263,2021-09-08
"40 - 44",6,12,334,30,382,2021-09-08
"45 - 49",8,13,637,67,725,2021-09-08
"50 - 54",14,28,1061,148,1251,2021-09-08
"55 - 59",15,28,1437,262,1742,2021-09-08
"60 - 64",21,33,1529,469,2052,2021-09-08
"65 - 69",9,38,1528,736,2311,2021-09-08
"70 - 74",11,23,1345,1014,2393,2021-09-08
"75 - 79",4,16,673,705,1398,2021-09-08
"80 - 84",3,3,142,230,378,2021-09-08
"85 - 89",2,1,18,38,59,2021-09-08
">90",0,0,3,2,5,2021-09-08
