"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",2,0,46,6,54,2022-04-28
"20 - 24",5,0,106,0,111,2022-04-28
"25 - 29",4,0,178,11,193,2022-04-28
"30 - 34",7,1,311,13,332,2022-04-28
"35 - 39",3,0,395,26,424,2022-04-28
"40 - 44",8,5,494,48,555,2022-04-28
"45 - 49",9,2,879,92,982,2022-04-28
"50 - 54",18,3,1391,212,1624,2022-04-28
"55 - 59",26,6,1860,367,2259,2022-04-28
"60 - 64",23,16,2032,655,2726,2022-04-28
"65 - 69",32,14,1983,999,3028,2022-04-28
"70 - 74",28,14,1725,1320,3087,2022-04-28
"75 - 79",24,8,913,935,1880,2022-04-28
"80 - 84",11,4,216,299,530,2022-04-28
"85 - 89",0,2,43,50,95,2022-04-28
">90",0,0,6,4,10,2022-04-28
