"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,25,3,28,2021-08-28
"20 - 24",4,0,55,0,59,2021-08-28
"25 - 29",4,5,109,7,125,2021-08-28
"30 - 34",2,11,180,6,199,2021-08-28
"35 - 39",6,9,224,15,254,2021-08-28
"40 - 44",1,12,331,28,372,2021-08-28
"45 - 49",10,12,627,67,716,2021-08-28
"50 - 54",17,32,1041,145,1235,2021-08-28
"55 - 59",7,29,1432,260,1728,2021-08-28
"60 - 64",13,36,1517,463,2029,2021-08-28
"65 - 69",18,35,1510,733,2296,2021-08-28
"70 - 74",15,15,1337,1007,2374,2021-08-28
"75 - 79",4,17,671,696,1388,2021-08-28
"80 - 84",1,2,141,229,373,2021-08-28
"85 - 89",0,1,18,38,57,2021-08-28
">90",0,0,3,2,5,2021-08-28
