"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",2,3,31,3,39,2021-12-09
"20 - 24",7,3,70,0,80,2021-12-09
"25 - 29",4,6,141,9,160,2021-12-09
"30 - 34",8,15,248,7,278,2021-12-09
"35 - 39",10,21,306,19,356,2021-12-09
"40 - 44",7,19,406,37,469,2021-12-09
"45 - 49",23,46,720,78,867,2021-12-09
"50 - 54",30,65,1181,166,1442,2021-12-09
"55 - 59",37,94,1586,293,2010,2021-12-09
"60 - 64",50,98,1696,544,2388,2021-12-09
"65 - 69",55,115,1648,839,2657,2021-12-09
"70 - 74",36,106,1452,1144,2738,2021-12-09
"75 - 79",26,45,737,806,1614,2021-12-09
"80 - 84",7,5,159,259,430,2021-12-09
"85 - 89",0,0,22,44,66,2021-12-09
">90",0,0,3,2,5,2021-12-09
