"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,1,25,3,29,2021-09-10
"20 - 24",5,0,56,0,61,2021-09-10
"25 - 29",7,3,113,7,130,2021-09-10
"30 - 34",6,10,191,7,214,2021-09-10
"35 - 39",8,10,232,15,265,2021-09-10
"40 - 44",8,11,334,30,383,2021-09-10
"45 - 49",7,13,639,67,726,2021-09-10
"50 - 54",12,29,1063,149,1253,2021-09-10
"55 - 59",11,30,1441,263,1745,2021-09-10
"60 - 64",22,30,1532,471,2055,2021-09-10
"65 - 69",10,34,1529,739,2312,2021-09-10
"70 - 74",11,20,1348,1015,2394,2021-09-10
"75 - 79",4,17,674,706,1401,2021-09-10
"80 - 84",3,3,142,230,378,2021-09-10
"85 - 89",2,1,18,39,60,2021-09-10
">90",0,0,3,2,5,2021-09-10
