"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,1,25,3,29,2021-09-19
"20 - 24",4,1,58,0,63,2021-09-19
"25 - 29",3,3,117,7,130,2021-09-19
"30 - 34",2,11,201,7,221,2021-09-19
"35 - 39",5,11,237,15,268,2021-09-19
"40 - 44",5,10,341,30,386,2021-09-19
"45 - 49",6,14,646,68,734,2021-09-19
"50 - 54",14,28,1069,151,1262,2021-09-19
"55 - 59",11,26,1451,266,1754,2021-09-19
"60 - 64",19,30,1543,472,2064,2021-09-19
"65 - 69",9,32,1537,743,2321,2021-09-19
"70 - 74",13,16,1356,1019,2404,2021-09-19
"75 - 79",4,13,675,709,1401,2021-09-19
"80 - 84",2,1,143,232,378,2021-09-19
"85 - 89",0,0,19,40,59,2021-09-19
">90",0,0,3,2,5,2021-09-19
