"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",3,0,50,7,60,2022-09-15
"20 - 24",4,0,113,1,118,2022-09-15
"25 - 29",1,0,191,12,204,2022-09-15
"30 - 34",4,0,324,14,342,2022-09-15
"35 - 39",2,0,406,26,434,2022-09-15
"40 - 44",4,0,514,50,568,2022-09-15
"45 - 49",3,0,898,95,996,2022-09-15
"50 - 54",9,4,1420,219,1652,2022-09-15
"55 - 59",9,3,1924,382,2318,2022-09-15
"60 - 64",11,6,2090,681,2788,2022-09-15
"65 - 69",17,8,2057,1026,3108,2022-09-15
"70 - 74",13,4,1804,1348,3169,2022-09-15
"75 - 79",5,4,990,961,1960,2022-09-15
"80 - 84",9,3,248,313,573,2022-09-15
"85 - 89",2,1,51,55,109,2022-09-15
">90",1,0,9,7,17,2022-09-15
