"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,2,37,5,45,2022-01-28
"20 - 24",2,4,81,0,87,2022-01-28
"25 - 29",4,2,160,10,176,2022-01-28
"30 - 34",3,3,289,11,306,2022-01-28
"35 - 39",8,6,362,21,397,2022-01-28
"40 - 44",4,9,458,40,511,2022-01-28
"45 - 49",19,15,814,86,934,2022-01-28
"50 - 54",32,24,1308,191,1555,2022-01-28
"55 - 59",36,29,1743,341,2149,2022-01-28
"60 - 64",36,39,1890,605,2570,2022-01-28
"65 - 69",42,39,1827,935,2843,2022-01-28
"70 - 74",26,45,1579,1248,2898,2022-01-28
"75 - 79",21,17,812,873,1723,2022-01-28
"80 - 84",9,2,177,273,461,2022-01-28
"85 - 89",1,1,27,46,75,2022-01-28
">90",0,0,4,3,7,2022-01-28
