"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",2,0,57,7,66,2022-12-02
"20 - 24",4,0,116,3,123,2022-12-02
"25 - 29",2,0,194,13,209,2022-12-02
"30 - 34",3,0,330,14,347,2022-12-02
"35 - 39",4,1,413,26,444,2022-12-02
"40 - 44",2,0,527,52,581,2022-12-02
"45 - 49",5,2,907,97,1011,2022-12-02
"50 - 54",9,2,1440,223,1674,2022-12-02
"55 - 59",11,5,1946,388,2350,2022-12-02
"60 - 64",12,3,2127,688,2830,2022-12-02
"65 - 69",19,3,2100,1048,3170,2022-12-02
"70 - 74",20,9,1851,1373,3253,2022-12-02
"75 - 79",17,6,1025,982,2030,2022-12-02
"80 - 84",10,1,277,326,614,2022-12-02
"85 - 89",4,1,60,62,127,2022-12-02
">90",1,0,13,9,23,2022-12-02
