"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",2,2,35,4,43,2022-01-02
"20 - 24",4,3,77,0,84,2022-01-02
"25 - 29",5,3,150,10,168,2022-01-02
"30 - 34",8,6,277,11,302,2022-01-02
"35 - 39",9,6,343,21,379,2022-01-02
"40 - 44",9,17,433,38,497,2022-01-02
"45 - 49",17,33,776,85,911,2022-01-02
"50 - 54",26,47,1261,178,1512,2022-01-02
"55 - 59",54,63,1666,318,2101,2022-01-02
"60 - 64",46,83,1802,581,2512,2022-01-02
"65 - 69",50,77,1749,893,2769,2022-01-02
"70 - 74",30,70,1527,1211,2838,2022-01-02
"75 - 79",28,45,775,845,1693,2022-01-02
"80 - 84",6,3,167,270,446,2022-01-02
"85 - 89",1,1,24,45,71,2022-01-02
">90",0,1,3,3,7,2022-01-02
