"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,27,3,30,2021-10-11
"20 - 24",3,0,61,0,64,2021-10-11
"25 - 29",6,6,118,7,137,2021-10-11
"30 - 34",3,2,213,7,225,2021-10-11
"35 - 39",7,8,247,17,279,2021-10-11
"40 - 44",7,8,353,32,400,2021-10-11
"45 - 49",8,5,659,70,742,2021-10-11
"50 - 54",14,18,1091,159,1282,2021-10-11
"55 - 59",17,16,1474,273,1780,2021-10-11
"60 - 64",23,18,1568,479,2088,2021-10-11
"65 - 69",11,25,1557,751,2344,2021-10-11
"70 - 74",10,27,1373,1028,2438,2021-10-11
"75 - 79",6,13,681,715,1415,2021-10-11
"80 - 84",1,4,144,235,384,2021-10-11
"85 - 89",0,1,19,40,60,2021-10-11
">90",0,0,3,2,5,2021-10-11
