"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,27,3,30,2021-10-18
"20 - 24",3,0,61,0,64,2021-10-18
"25 - 29",8,3,120,7,138,2021-10-18
"30 - 34",0,4,216,7,227,2021-10-18
"35 - 39",4,7,253,17,281,2021-10-18
"40 - 44",6,11,357,33,407,2021-10-18
"45 - 49",9,4,662,70,745,2021-10-18
"50 - 54",11,15,1096,160,1282,2021-10-18
"55 - 59",15,12,1484,274,1785,2021-10-18
"60 - 64",16,23,1576,483,2098,2021-10-18
"65 - 69",11,26,1562,756,2355,2021-10-18
"70 - 74",10,23,1377,1033,2443,2021-10-18
"75 - 79",6,17,682,717,1422,2021-10-18
"80 - 84",2,5,146,238,391,2021-10-18
"85 - 89",0,0,19,41,60,2021-10-18
">90",0,0,3,2,5,2021-10-18
