"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",3,0,50,7,60,2022-08-24
"20 - 24",3,0,114,1,118,2022-08-24
"25 - 29",1,0,190,12,203,2022-08-24
"30 - 34",4,0,326,14,344,2022-08-24
"35 - 39",3,1,405,26,435,2022-08-24
"40 - 44",5,2,512,50,569,2022-08-24
"45 - 49",3,2,898,95,998,2022-08-24
"50 - 54",7,3,1416,218,1644,2022-08-24
"55 - 59",14,4,1915,382,2315,2022-08-24
"60 - 64",12,8,2090,681,2791,2022-08-24
"65 - 69",12,11,2064,1022,3109,2022-08-24
"70 - 74",24,7,1791,1345,3167,2022-08-24
"75 - 79",10,2,991,960,1963,2022-08-24
"80 - 84",6,3,249,311,569,2022-08-24
"85 - 89",1,0,50,55,106,2022-08-24
">90",0,1,9,6,16,2022-08-24
