"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,27,3,30,2021-10-17
"20 - 24",3,0,61,0,64,2021-10-17
"25 - 29",8,4,119,7,138,2021-10-17
"30 - 34",2,3,214,7,226,2021-10-17
"35 - 39",4,7,253,17,281,2021-10-17
"40 - 44",6,8,357,33,404,2021-10-17
"45 - 49",9,4,662,70,745,2021-10-17
"50 - 54",12,14,1095,160,1281,2021-10-17
"55 - 59",17,12,1481,274,1784,2021-10-17
"60 - 64",17,21,1575,482,2095,2021-10-17
"65 - 69",10,24,1562,754,2350,2021-10-17
"70 - 74",10,20,1377,1033,2440,2021-10-17
"75 - 79",6,16,682,716,1420,2021-10-17
"80 - 84",2,6,146,236,390,2021-10-17
"85 - 89",0,0,19,41,60,2021-10-17
">90",0,0,3,2,5,2021-10-17
