"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",3,0,50,7,60,2022-09-09
"20 - 24",3,1,113,1,118,2022-09-09
"25 - 29",1,0,191,12,204,2022-09-09
"30 - 34",4,0,323,14,341,2022-09-09
"35 - 39",3,0,404,26,433,2022-09-09
"40 - 44",5,0,513,50,568,2022-09-09
"45 - 49",5,0,896,94,995,2022-09-09
"50 - 54",9,3,1418,219,1649,2022-09-09
"55 - 59",9,2,1924,382,2317,2022-09-09
"60 - 64",11,6,2089,681,2787,2022-09-09
"65 - 69",15,7,2055,1026,3103,2022-09-09
"70 - 74",16,3,1800,1348,3167,2022-09-09
"75 - 79",5,5,988,960,1958,2022-09-09
"80 - 84",8,1,248,312,569,2022-09-09
"85 - 89",1,0,51,55,107,2022-09-09
">90",0,1,9,7,17,2022-09-09
