"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",3,0,50,7,60,2022-09-07
"20 - 24",3,0,113,1,117,2022-09-07
"25 - 29",1,0,191,12,204,2022-09-07
"30 - 34",4,0,323,14,341,2022-09-07
"35 - 39",3,0,404,26,433,2022-09-07
"40 - 44",5,1,512,50,568,2022-09-07
"45 - 49",5,0,896,95,996,2022-09-07
"50 - 54",10,3,1417,218,1648,2022-09-07
"55 - 59",11,2,1921,382,2316,2022-09-07
"60 - 64",13,7,2087,681,2788,2022-09-07
"65 - 69",14,6,2054,1026,3100,2022-09-07
"70 - 74",17,4,1799,1347,3167,2022-09-07
"75 - 79",6,4,987,960,1957,2022-09-07
"80 - 84",8,2,247,312,569,2022-09-07
"85 - 89",1,0,51,55,107,2022-09-07
">90",0,0,9,7,16,2022-09-07
