"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,1,62,8,71,2023-01-31
"20 - 24",2,0,120,2,124,2023-01-31
"25 - 29",0,0,198,13,211,2023-01-31
"30 - 34",2,0,334,14,350,2023-01-31
"35 - 39",3,0,421,27,451,2023-01-31
"40 - 44",1,1,531,53,586,2023-01-31
"45 - 49",3,0,917,98,1018,2023-01-31
"50 - 54",9,1,1455,229,1694,2023-01-31
"55 - 59",9,5,1972,394,2380,2023-01-31
"60 - 64",11,4,2162,693,2870,2023-01-31
"65 - 69",12,1,2145,1066,3224,2023-01-31
"70 - 74",16,5,1904,1389,3314,2023-01-31
"75 - 79",16,6,1066,1000,2088,2023-01-31
"80 - 84",7,4,306,338,655,2023-01-31
"85 - 89",6,2,63,69,140,2023-01-31
">90",1,0,15,9,25,2023-01-31
