"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,2,42,6,50,2022-03-20
"20 - 24",4,2,100,0,106,2022-03-20
"25 - 29",4,1,174,11,190,2022-03-20
"30 - 34",5,3,305,11,324,2022-03-20
"35 - 39",3,2,388,24,417,2022-03-20
"40 - 44",6,6,480,45,537,2022-03-20
"45 - 49",11,9,860,88,968,2022-03-20
"50 - 54",21,9,1362,205,1597,2022-03-20
"55 - 59",24,13,1830,358,2225,2022-03-20
"60 - 64",24,22,1979,637,2662,2022-03-20
"65 - 69",39,25,1917,981,2962,2022-03-20
"70 - 74",31,32,1663,1286,3012,2022-03-20
"75 - 79",20,18,865,911,1814,2022-03-20
"80 - 84",5,5,197,285,492,2022-03-20
"85 - 89",0,0,32,49,81,2022-03-20
">90",0,0,3,3,6,2022-03-20
