"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,0,27,3,31,2021-10-29
"20 - 24",3,1,61,0,65,2021-10-29
"25 - 29",4,4,126,8,142,2021-10-29
"30 - 34",0,2,219,7,228,2021-10-29
"35 - 39",6,4,261,18,289,2021-10-29
"40 - 44",3,11,368,33,415,2021-10-29
"45 - 49",8,9,669,70,756,2021-10-29
"50 - 54",12,19,1105,162,1298,2021-10-29
"55 - 59",18,21,1494,274,1807,2021-10-29
"60 - 64",16,29,1591,491,2127,2021-10-29
"65 - 69",19,44,1569,761,2393,2021-10-29
"70 - 74",8,39,1386,1042,2475,2021-10-29
"75 - 79",12,26,688,722,1448,2021-10-29
"80 - 84",3,3,148,243,397,2021-10-29
"85 - 89",1,0,19,41,61,2021-10-29
">90",0,0,3,2,5,2021-10-29
