"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,0,62,8,71,2023-02-06
"20 - 24",2,0,120,2,124,2023-02-06
"25 - 29",0,0,198,13,211,2023-02-06
"30 - 34",2,0,334,14,350,2023-02-06
"35 - 39",4,0,421,27,452,2023-02-06
"40 - 44",0,1,532,53,586,2023-02-06
"45 - 49",3,0,917,97,1017,2023-02-06
"50 - 54",9,1,1455,229,1694,2023-02-06
"55 - 59",7,3,1974,395,2379,2023-02-06
"60 - 64",12,5,2162,693,2872,2023-02-06
"65 - 69",13,2,2146,1068,3229,2023-02-06
"70 - 74",15,8,1905,1391,3319,2023-02-06
"75 - 79",14,6,1070,1000,2090,2023-02-06
"80 - 84",11,2,306,338,657,2023-02-06
"85 - 89",6,0,64,70,140,2023-02-06
">90",1,0,15,9,25,2023-02-06
