"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",3,0,50,7,60,2022-08-19
"20 - 24",3,0,114,1,118,2022-08-19
"25 - 29",1,0,190,12,203,2022-08-19
"30 - 34",5,0,325,14,344,2022-08-19
"35 - 39",3,0,405,26,434,2022-08-19
"40 - 44",5,2,511,50,568,2022-08-19
"45 - 49",3,2,897,94,996,2022-08-19
"50 - 54",6,4,1415,218,1643,2022-08-19
"55 - 59",15,4,1915,379,2313,2022-08-19
"60 - 64",11,10,2086,681,2788,2022-08-19
"65 - 69",17,8,2056,1021,3102,2022-08-19
"70 - 74",22,8,1787,1342,3159,2022-08-19
"75 - 79",16,5,980,958,1959,2022-08-19
"80 - 84",9,1,246,311,567,2022-08-19
"85 - 89",0,1,49,55,105,2022-08-19
">90",0,0,9,6,15,2022-08-19
