"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,1,20,3,25,2021-07-29
"20 - 24",3,1,49,0,53,2021-07-29
"25 - 29",3,3,97,7,110,2021-07-29
"30 - 34",2,2,168,6,178,2021-07-29
"35 - 39",5,7,200,14,226,2021-07-29
"40 - 44",4,14,305,27,350,2021-07-29
"45 - 49",6,17,588,65,676,2021-07-29
"50 - 54",18,23,1000,142,1183,2021-07-29
"55 - 59",10,18,1388,252,1668,2021-07-29
"60 - 64",11,24,1483,453,1971,2021-07-29
"65 - 69",6,30,1489,721,2246,2021-07-29
"70 - 74",8,16,1318,993,2335,2021-07-29
"75 - 79",6,13,654,687,1360,2021-07-29
"80 - 84",2,1,136,227,366,2021-07-29
"85 - 89",0,1,17,37,55,2021-07-29
">90",0,0,3,2,5,2021-07-29
