"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,5,32,4,41,2021-12-19
"20 - 24",5,4,73,0,82,2021-12-19
"25 - 29",7,3,146,9,165,2021-12-19
"30 - 34",9,18,258,9,294,2021-12-19
"35 - 39",10,19,320,19,368,2021-12-19
"40 - 44",10,22,416,37,485,2021-12-19
"45 - 49",28,44,741,79,892,2021-12-19
"50 - 54",36,56,1213,172,1477,2021-12-19
"55 - 59",47,85,1621,301,2054,2021-12-19
"60 - 64",44,113,1734,557,2448,2021-12-19
"65 - 69",61,101,1693,862,2717,2021-12-19
"70 - 74",44,95,1479,1168,2786,2021-12-19
"75 - 79",28,56,751,819,1654,2021-12-19
"80 - 84",10,3,161,264,438,2021-12-19
"85 - 89",2,0,23,44,69,2021-12-19
">90",0,0,3,3,6,2021-12-19
