"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",3,1,46,7,57,2022-07-07
"20 - 24",5,0,109,0,114,2022-07-07
"25 - 29",4,0,183,12,199,2022-07-07
"30 - 34",6,1,318,13,338,2022-07-07
"35 - 39",3,3,397,26,429,2022-07-07
"40 - 44",6,2,504,49,561,2022-07-07
"45 - 49",6,0,890,91,987,2022-07-07
"50 - 54",10,3,1402,214,1629,2022-07-07
"55 - 59",17,7,1896,373,2293,2022-07-07
"60 - 64",12,7,2064,672,2755,2022-07-07
"65 - 69",27,11,2023,1012,3073,2022-07-07
"70 - 74",20,4,1759,1338,3121,2022-07-07
"75 - 79",22,3,948,946,1919,2022-07-07
"80 - 84",6,3,232,308,549,2022-07-07
"85 - 89",1,0,47,54,102,2022-07-07
">90",0,0,7,5,12,2022-07-07
