"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",2,0,64,7,73,2023-03-13
"20 - 24",2,0,123,3,128,2023-03-13
"25 - 29",0,1,200,13,214,2023-03-13
"30 - 34",2,0,334,14,350,2023-03-13
"35 - 39",4,0,424,28,456,2023-03-13
"40 - 44",1,1,536,55,593,2023-03-13
"45 - 49",4,1,919,100,1024,2023-03-13
"50 - 54",10,3,1460,233,1706,2023-03-13
"55 - 59",10,8,1980,397,2395,2023-03-13
"60 - 64",17,7,2173,698,2895,2023-03-13
"65 - 69",20,9,2153,1075,3257,2023-03-13
"70 - 74",20,17,1933,1402,3372,2023-03-13
"75 - 79",17,8,1088,1011,2124,2023-03-13
"80 - 84",8,3,321,346,678,2023-03-13
"85 - 89",6,0,74,75,155,2023-03-13
">90",2,1,17,10,30,2023-03-13
