"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,1,22,3,27,2021-08-06
"20 - 24",4,5,49,0,58,2021-08-06
"25 - 29",2,6,100,7,115,2021-08-06
"30 - 34",2,6,170,6,184,2021-08-06
"35 - 39",3,12,207,14,236,2021-08-06
"40 - 44",8,9,310,27,354,2021-08-06
"45 - 49",14,19,594,65,692,2021-08-06
"50 - 54",19,25,1011,142,1197,2021-08-06
"55 - 59",9,21,1401,255,1686,2021-08-06
"60 - 64",12,31,1490,453,1986,2021-08-06
"65 - 69",9,36,1493,721,2259,2021-08-06
"70 - 74",12,21,1321,994,2348,2021-08-06
"75 - 79",7,16,657,689,1369,2021-08-06
"80 - 84",1,1,138,227,367,2021-08-06
"85 - 89",2,0,17,38,57,2021-08-06
">90",0,0,3,2,5,2021-08-06
