"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",2,1,36,4,43,2022-01-12
"20 - 24",4,2,78,0,84,2022-01-12
"25 - 29",7,6,152,10,175,2022-01-12
"30 - 34",8,4,283,11,306,2022-01-12
"35 - 39",6,7,353,21,387,2022-01-12
"40 - 44",10,15,442,40,507,2022-01-12
"45 - 49",26,23,789,86,924,2022-01-12
"50 - 54",28,47,1281,185,1541,2022-01-12
"55 - 59",36,50,1707,330,2123,2022-01-12
"60 - 64",41,69,1841,592,2543,2022-01-12
"65 - 69",58,66,1774,914,2812,2022-01-12
"70 - 74",33,57,1553,1229,2872,2022-01-12
"75 - 79",29,37,788,859,1713,2022-01-12
"80 - 84",7,3,171,271,452,2022-01-12
"85 - 89",0,0,27,46,73,2022-01-12
">90",1,0,3,3,7,2022-01-12
