"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",2,1,46,6,55,2022-06-08
"20 - 24",5,0,107,0,112,2022-06-08
"25 - 29",4,0,182,11,197,2022-06-08
"30 - 34",4,0,315,13,332,2022-06-08
"35 - 39",4,1,397,26,428,2022-06-08
"40 - 44",6,1,500,48,555,2022-06-08
"45 - 49",6,1,887,92,986,2022-06-08
"50 - 54",13,2,1397,213,1625,2022-06-08
"55 - 59",19,6,1881,370,2276,2022-06-08
"60 - 64",12,4,2058,665,2739,2022-06-08
"65 - 69",24,8,2011,1008,3051,2022-06-08
"70 - 74",15,6,1754,1335,3110,2022-06-08
"75 - 79",20,2,937,942,1901,2022-06-08
"80 - 84",4,2,228,302,536,2022-06-08
"85 - 89",0,0,46,53,99,2022-06-08
">90",0,0,7,5,12,2022-06-08
