"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",2,0,38,6,46,2022-02-16
"20 - 24",7,2,87,0,96,2022-02-16
"25 - 29",3,4,165,11,183,2022-02-16
"30 - 34",6,2,291,11,310,2022-02-16
"35 - 39",7,2,375,23,407,2022-02-16
"40 - 44",8,7,466,42,523,2022-02-16
"45 - 49",16,9,840,87,952,2022-02-16
"50 - 54",29,11,1333,198,1571,2022-02-16
"55 - 59",42,18,1774,349,2183,2022-02-16
"60 - 64",35,32,1917,614,2598,2022-02-16
"65 - 69",40,36,1857,956,2889,2022-02-16
"70 - 74",32,26,1609,1262,2929,2022-02-16
"75 - 79",17,21,832,886,1756,2022-02-16
"80 - 84",7,4,182,277,470,2022-02-16
"85 - 89",1,0,29,48,78,2022-02-16
">90",0,0,4,3,7,2022-02-16
