"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,1,62,8,71,2023-01-12
"20 - 24",2,0,120,2,124,2023-01-12
"25 - 29",0,0,197,13,210,2023-01-12
"30 - 34",3,0,332,14,349,2023-01-12
"35 - 39",3,0,420,27,450,2023-01-12
"40 - 44",0,2,530,53,585,2023-01-12
"45 - 49",2,0,917,97,1016,2023-01-12
"50 - 54",9,3,1453,229,1694,2023-01-12
"55 - 59",9,6,1965,394,2374,2023-01-12
"60 - 64",12,9,2154,690,2865,2023-01-12
"65 - 69",17,6,2131,1060,3214,2023-01-12
"70 - 74",17,14,1886,1387,3304,2023-01-12
"75 - 79",14,12,1056,997,2079,2023-01-12
"80 - 84",7,3,298,335,643,2023-01-12
"85 - 89",2,1,65,66,134,2023-01-12
">90",0,0,15,9,24,2023-01-12
