"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",3,1,46,7,57,2022-07-13
"20 - 24",5,1,109,0,115,2022-07-13
"25 - 29",2,2,184,12,200,2022-07-13
"30 - 34",4,1,320,13,338,2022-07-13
"35 - 39",4,0,398,26,428,2022-07-13
"40 - 44",5,3,505,49,562,2022-07-13
"45 - 49",6,2,890,91,989,2022-07-13
"50 - 54",9,2,1404,214,1629,2022-07-13
"55 - 59",16,7,1899,373,2295,2022-07-13
"60 - 64",11,9,2066,673,2759,2022-07-13
"65 - 69",27,8,2026,1018,3079,2022-07-13
"70 - 74",25,8,1761,1339,3133,2022-07-13
"75 - 79",19,6,953,949,1927,2022-07-13
"80 - 84",8,4,236,308,556,2022-07-13
"85 - 89",1,1,47,54,103,2022-07-13
">90",0,0,7,5,12,2022-07-13
