"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,27,3,30,2021-10-14
"20 - 24",3,0,61,0,64,2021-10-14
"25 - 29",6,5,119,7,137,2021-10-14
"30 - 34",3,3,213,7,226,2021-10-14
"35 - 39",6,5,250,17,278,2021-10-14
"40 - 44",4,9,357,33,403,2021-10-14
"45 - 49",8,6,660,70,744,2021-10-14
"50 - 54",10,16,1095,160,1281,2021-10-14
"55 - 59",18,15,1479,274,1786,2021-10-14
"60 - 64",21,18,1572,481,2092,2021-10-14
"65 - 69",10,26,1558,753,2347,2021-10-14
"70 - 74",9,23,1375,1032,2439,2021-10-14
"75 - 79",6,12,681,716,1415,2021-10-14
"80 - 84",2,7,144,235,388,2021-10-14
"85 - 89",0,0,19,41,60,2021-10-14
">90",0,0,3,2,5,2021-10-14
