"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",2,0,22,3,27,2021-08-09
"20 - 24",7,2,49,0,58,2021-08-09
"25 - 29",2,5,101,7,115,2021-08-09
"30 - 34",4,6,170,6,186,2021-08-09
"35 - 39",4,15,207,14,240,2021-08-09
"40 - 44",6,12,314,27,359,2021-08-09
"45 - 49",14,18,597,65,694,2021-08-09
"50 - 54",23,24,1012,143,1202,2021-08-09
"55 - 59",13,21,1401,256,1691,2021-08-09
"60 - 64",17,30,1493,453,1993,2021-08-09
"65 - 69",10,35,1496,721,2262,2021-08-09
"70 - 74",14,21,1321,995,2351,2021-08-09
"75 - 79",7,21,657,689,1374,2021-08-09
"80 - 84",1,3,139,227,370,2021-08-09
"85 - 89",1,1,17,38,57,2021-08-09
">90",0,0,3,2,5,2021-08-09
