"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",2,1,46,6,55,2022-06-02
"20 - 24",4,0,107,0,111,2022-06-02
"25 - 29",4,0,181,11,196,2022-06-02
"30 - 34",6,0,313,13,332,2022-06-02
"35 - 39",4,1,397,26,428,2022-06-02
"40 - 44",8,0,498,48,554,2022-06-02
"45 - 49",7,1,886,91,985,2022-06-02
"50 - 54",18,3,1392,213,1626,2022-06-02
"55 - 59",26,7,1872,369,2274,2022-06-02
"60 - 64",17,4,2052,665,2738,2022-06-02
"65 - 69",25,9,2005,1007,3046,2022-06-02
"70 - 74",17,6,1752,1334,3109,2022-06-02
"75 - 79",20,3,934,942,1899,2022-06-02
"80 - 84",5,0,227,302,534,2022-06-02
"85 - 89",0,0,46,51,97,2022-06-02
">90",0,0,7,5,12,2022-06-02
