"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,3,33,4,41,2021-12-24
"20 - 24",5,3,74,0,82,2021-12-24
"25 - 29",6,4,147,9,166,2021-12-24
"30 - 34",18,10,260,9,297,2021-12-24
"35 - 39",14,13,328,19,374,2021-12-24
"40 - 44",13,13,422,38,486,2021-12-24
"45 - 49",23,35,762,81,901,2021-12-24
"50 - 54",37,55,1228,174,1494,2021-12-24
"55 - 59",56,76,1633,309,2074,2021-12-24
"60 - 64",51,101,1760,565,2477,2021-12-24
"65 - 69",46,95,1723,875,2739,2021-12-24
"70 - 74",47,88,1497,1180,2812,2021-12-24
"75 - 79",29,48,760,831,1668,2021-12-24
"80 - 84",7,3,162,267,439,2021-12-24
"85 - 89",1,1,24,44,70,2021-12-24
">90",0,0,3,3,6,2021-12-24
