"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,1,25,3,29,2021-09-15
"20 - 24",5,1,57,0,63,2021-09-15
"25 - 29",4,3,116,7,130,2021-09-15
"30 - 34",6,9,196,7,218,2021-09-15
"35 - 39",7,9,235,15,266,2021-09-15
"40 - 44",8,8,339,30,385,2021-09-15
"45 - 49",6,14,643,68,731,2021-09-15
"50 - 54",9,32,1069,150,1260,2021-09-15
"55 - 59",14,27,1447,265,1753,2021-09-15
"60 - 64",19,30,1539,471,2059,2021-09-15
"65 - 69",15,37,1530,740,2322,2021-09-15
"70 - 74",13,16,1353,1018,2400,2021-09-15
"75 - 79",5,14,674,708,1401,2021-09-15
"80 - 84",4,2,142,231,379,2021-09-15
"85 - 89",1,0,18,40,59,2021-09-15
">90",0,0,3,2,5,2021-09-15
