"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",3,0,53,7,63,2022-11-01
"20 - 24",6,0,114,3,123,2022-11-01
"25 - 29",2,0,193,13,208,2022-11-01
"30 - 34",3,0,330,14,347,2022-11-01
"35 - 39",2,3,411,26,442,2022-11-01
"40 - 44",3,0,523,52,578,2022-11-01
"45 - 49",6,0,903,98,1007,2022-11-01
"50 - 54",11,4,1432,220,1667,2022-11-01
"55 - 59",12,5,1939,385,2341,2022-11-01
"60 - 64",17,8,2109,686,2820,2022-11-01
"65 - 69",23,9,2081,1036,3149,2022-11-01
"70 - 74",22,11,1834,1366,3233,2022-11-01
"75 - 79",18,7,1011,974,2010,2022-11-01
"80 - 84",12,2,269,322,605,2022-11-01
"85 - 89",7,0,57,61,125,2022-11-01
">90",0,0,13,9,22,2022-11-01
