"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",2,0,38,6,46,2022-02-21
"20 - 24",8,1,88,0,97,2022-02-21
"25 - 29",4,3,166,11,184,2022-02-21
"30 - 34",8,2,293,11,314,2022-02-21
"35 - 39",10,2,376,24,412,2022-02-21
"40 - 44",9,7,467,42,525,2022-02-21
"45 - 49",13,10,846,87,956,2022-02-21
"50 - 54",23,14,1340,199,1576,2022-02-21
"55 - 59",38,18,1786,350,2192,2022-02-21
"60 - 64",38,32,1924,616,2610,2022-02-21
"65 - 69",38,30,1865,959,2892,2022-02-21
"70 - 74",38,22,1614,1265,2939,2022-02-21
"75 - 79",17,24,837,892,1770,2022-02-21
"80 - 84",10,3,183,279,475,2022-02-21
"85 - 89",1,1,30,48,80,2022-02-21
">90",0,0,4,3,7,2022-02-21
