"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",4,0,54,7,65,2022-11-09
"20 - 24",5,0,115,3,123,2022-11-09
"25 - 29",2,0,194,13,209,2022-11-09
"30 - 34",3,0,330,14,347,2022-11-09
"35 - 39",2,4,411,26,443,2022-11-09
"40 - 44",4,1,523,52,580,2022-11-09
"45 - 49",4,1,905,98,1008,2022-11-09
"50 - 54",12,1,1435,221,1669,2022-11-09
"55 - 59",12,5,1940,385,2342,2022-11-09
"60 - 64",18,9,2113,687,2827,2022-11-09
"65 - 69",21,5,2089,1041,3156,2022-11-09
"70 - 74",21,12,1843,1368,3244,2022-11-09
"75 - 79",17,7,1013,977,2014,2022-11-09
"80 - 84",12,6,269,322,609,2022-11-09
"85 - 89",5,0,58,62,125,2022-11-09
">90",0,0,13,9,22,2022-11-09
