"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,1,22,3,26,2021-08-05
"20 - 24",3,6,49,0,58,2021-08-05
"25 - 29",2,4,100,7,113,2021-08-05
"30 - 34",2,6,170,6,184,2021-08-05
"35 - 39",5,9,205,14,233,2021-08-05
"40 - 44",7,8,310,27,352,2021-08-05
"45 - 49",11,23,593,65,692,2021-08-05
"50 - 54",19,24,1011,142,1196,2021-08-05
"55 - 59",9,22,1400,255,1686,2021-08-05
"60 - 64",12,27,1490,453,1982,2021-08-05
"65 - 69",9,34,1493,721,2257,2021-08-05
"70 - 74",12,21,1321,994,2348,2021-08-05
"75 - 79",7,14,657,689,1367,2021-08-05
"80 - 84",2,1,137,227,367,2021-08-05
"85 - 89",1,2,17,38,58,2021-08-05
">90",0,0,3,2,5,2021-08-05
